Transaction ID,Date,Amount,Category,Description,Account Number,Vendor,Payment Method,Status,Anomaly Flag,Risk Score,Notes
TX-30009,2024-03-08,-2077.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30010,2024-03-15,-2831.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,SeaChoice Seafood,EFT,Completed,0,20,
TX-30011,2024-03-22,-2192.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-30012,2024-04-01,-2983.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-30013,2024-04-08,-2050.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
TX-30014,2024-04-15,-2387.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30015,2024-04-22,-2389.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30016,2024-05-01,-2416.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Sysco Canada,EFT,Completed,0,20,
TX-30017,2024-05-08,-2150.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,SeaChoice Seafood,EFT,Completed,0,20,
TX-30018,2024-05-15,-2955.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
TX-30019,2024-05-22,-2247.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-30020,2024-06-01,-2785.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Sysco Canada,EFT,Completed,0,20,
TX-30021,2024-06-08,-2527.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Sysco Canada,EFT,Completed,0,20,
TX-30022,2024-06-15,-2536.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
TX-30023,2024-06-22,-2985.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-40000,2024-01-05,-1711.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Waterloo Coffee Roasters,Credit Card,Completed,0,20,
TX-40001,2024-01-19,-2141.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Coca-Cola Bottling,Credit Card,Completed,0,20,
TX-40002,2024-02-05,-1564.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,The Beer Store,Credit Card,Completed,0,20,
TX-40003,2024-02-19,-2140.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,The Beer Store,Credit Card,Completed,0,20,
TX-40004,2024-03-05,-1709.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,The Beer Store,Credit Card,Completed,0,20,
TX-40005,2024-03-19,-2228.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Coca-Cola Bottling,Credit Card,Completed,0,20,
TX-40006,2024-04-05,-1925.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Canada Dry Distribution,Credit Card,Completed,0,20,
TX-40007,2024-04-19,-1800.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Canada Dry Distribution,Credit Card,Completed,0,20,
TX-40008,2024-05-05,-1763.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Canada Dry Distribution,Credit Card,Completed,0,20,
TX-40009,2024-05-19,-1923.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,Waterloo Coffee Roasters,Credit Card,Completed,0,20,
TX-40010,2024-06-05,-1618.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,LCBO,Credit Card,Completed,0,20,
TX-40011,2024-06-19,-1768.00,Beverage Supplies,Bi-weekly beverage order,1234-5678-9012-3456,LCBO,Credit Card,Completed,0,20,
TX-50000,2024-01-15,-12206.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50001,2024-01-30,-12528.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50002,2024-02-15,-13345.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50003,2024-03-01,-13322.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50004,2024-03-15,-12024.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50005,2024-03-30,-12955.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50006,2024-04-15,-13061.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50007,2024-04-30,-13122.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50008,2024-05-15,-12723.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50009,2024-05-30,-12261.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50010,2024-06-15,-12700.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-50011,2024-06-30,-12321.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,0,15,
TX-60000,2024-01-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-60001,2024-02-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-60002,2024-03-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-60003,2024-04-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-60004,2024-05-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-60005,2024-06-05,-925.00,Insurance,Monthly business insurance premium,3456-7890-1234-5678,Intact Insurance,EFT,Completed,0,10,
TX-70001,2024-01-01,3006.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70002,2024-01-02,3701.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70003,2024-01-03,3982.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70004,2024-01-04,3936.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70005,2024-01-05,6229.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70008,2024-01-08,3024.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70009,2024-01-09,4111.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70010,2024-01-10,3120.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70011,2024-01-11,3559.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70012,2024-01-12,5577.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70015,2024-01-15,3274.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70016,2024-01-16,3844.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70017,2024-01-17,3262.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70018,2024-01-18,3750.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70019,2024-01-19,5790.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70021,2024-02-01,4168.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70022,2024-02-02,4888.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70023,2024-02-03,3640.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70024,2024-02-04,3189.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70025,2024-02-05,3065.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70028,2024-02-08,3422.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70029,2024-02-09,5115.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70030,2024-02-10,3174.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70031,2024-02-11,3541.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70032,2024-02-12,3669.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70035,2024-02-15,3488.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70036,2024-02-16,5275.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70037,2024-02-17,3604.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70038,2024-02-18,4133.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70039,2024-02-19,3053.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70041,2024-03-01,4947.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70042,2024-03-02,3172.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70043,2024-03-03,4159.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70044,2024-03-04,4047.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70045,2024-03-05,3208.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70048,2024-03-08,5704.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70049,2024-03-09,3310.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70050,2024-03-10,3206.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70051,2024-03-11,3170.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70052,2024-03-12,3070.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70055,2024-03-15,4746.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70056,2024-03-16,3357.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70057,2024-03-17,3585.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70058,2024-03-18,3045.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70059,2024-03-19,3817.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70061,2024-04-01,3248.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70062,2024-04-02,3803.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70063,2024-04-03,3534.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70064,2024-04-04,3203.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70065,2024-04-05,5803.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70068,2024-04-08,3523.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70069,2024-04-09,3393.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70070,2024-04-10,3484.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70071,2024-04-11,3035.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70072,2024-04-12,4623.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70075,2024-04-15,3061.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70076,2024-04-16,3937.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70077,2024-04-17,3088.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70078,2024-04-18,3321.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70079,2024-04-19,5308.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70081,2024-05-01,5335.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70082,2024-05-02,5365.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70083,2024-05-03,8214.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70084,2024-05-04,4954.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70085,2024-05-05,4587.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70088,2024-05-08,4699.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70089,2024-05-09,4178.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70090,2024-05-10,8170.50,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70091,2024-05-11,4379.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70092,2024-05-12,5296.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70095,2024-05-15,5321.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70096,2024-05-16,4130.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70097,2024-05-17,6942.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70098,2024-05-18,5327.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70099,2024-05-19,4334.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70101,2024-06-01,4111.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70102,2024-06-02,4037.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70103,2024-06-03,4079.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70104,2024-06-04,5252.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70105,2024-06-05,5033.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70108,2024-06-08,4381.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70109,2024-06-09,4604.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70110,2024-06-10,4734.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70111,2024-06-11,5481.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70112,2024-06-12,4594.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70115,2024-06-15,4839.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70116,2024-06-16,5139.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70117,2024-06-17,4327.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70118,2024-06-18,4572.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-70119,2024-06-19,4152.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,0,5,
TX-80001,2024-03-31,-8750.00,Taxes,Q1 Sales tax payment,1234-5678-9012-3456,Ontario Ministry of Finance,EFT,Completed,0,25,
TX-80002,2024-06-30,-9125.00,Taxes,Q2 Sales tax payment,1234-5678-9012-3456,Ontario Ministry of Finance,EFT,Completed,0,25,
TX-90001,2024-01-20,-2450.00,Equipment,Replacement refrigerator,3456-7890-1234-5678,Ontario Refrigeration,EFT,Completed,0,30,
TX-90002,2024-02-15,-875.00,Maintenance,Plumbing repairs in kitchen,3456-7890-1234-5678,FixIt Plumbing,Credit Card,Completed,0,30,
TX-90003,2024-03-10,-1250.00,Equipment,New blender and food processor,1234-5678-9012-3456,KitchenAid Commercial,Credit Card,Completed,0,30,
TX-90004,2024-04-05,-950.00,Maintenance,HVAC system maintenance,2345-6789-0123-4567,Ontario HVAC Services,Debit,Completed,0,30,
TX-90005,2024-05-23,-3200.00,Equipment,New outdoor patio furniture,1234-5678-9012-3456,Restaurant Equipment Depot,Credit Card,Completed,0,30,
TX-90006,2024-06-14,-750.00,Maintenance,Pest control service,3456-7890-1234-5678,Pest Control Experts,EFT,Completed,0,30,
TX-100000,2024-01-10,-1442.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Facebook Ads,Credit Card,Completed,0,20,
TX-100001,2024-02-10,-1222.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Sign Experts,Credit Card,Completed,0,20,
TX-100002,2024-03-10,-1123.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Google Ads,Credit Card,Completed,0,20,
TX-100003,2024-04-10,-1495.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Print & Design Co.,Credit Card,Completed,0,20,
TX-100004,2024-05-10,-1331.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Facebook Ads,Credit Card,Completed,0,20,
TX-100005,2024-06-10,-1025.00,Marketing,Monthly marketing campaign,3456-7890-1234-5678,Sign Experts,Credit Card,Completed,0,20,
TX-A10001,2024-02-12,-12450.00,Food Supplies,Bulk food order,1234-5678-9012-3456,Sysco Canada,EFT,Completed,1,85,Amount significantly higher than typical food orders
TX-A10002,2024-03-02,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,1,90,Duplicate payment - rent already paid on March 1
TX-A10003,2024-01-25,-10000.00,Professional Services,Consulting services,3456-7890-1234-5678,Waterloo Accounting Group,Wire Transfer,Completed,1,75,Round amount transaction to unknown vendor
TX-A10004,2024-04-30,-3450.00,Equipment,Emergency equipment replacement,1234-5678-9012-3456,Restaurant Equipment Depot,Credit Card,Completed,1,65,Transaction processed at 3:17 AM
TX-A10005,2024-05-14,-2175.00,Office Supplies,Office equipment purchase,2345-6789-0123-4567,Global Imports Ltd.,Credit Card,Completed,1,80,Vendor not in approved vendor list
TX-A10006,2024-02-16,-3890.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,1,75,Amount 300% higher than average monthly electricity bill
TX-A10007,2024-01-09,-2125.50,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,1,85,Possible duplicate payment - similar amount paid to same vendor on Jan 8
TX-A10008,2024-03-24,-5400.00,Professional Services,Management consulting,3456-7890-1234-5678,John Smith Personal,Wire Transfer,Completed,1,95,Payment to personal account rather than business entity
TX-A10009,2024-06-05,-3250.00,Maintenance,Emergency repairs,1234-5678-9012-3456,FixIt Plumbing,Credit Card,Completed,1,70,Missing invoice documentation
TX-A10010,2024-05-18,-4900.00,Equipment,Kitchen equipment - Part 1,1234-5678-9012-3456,Restaurant Equipment Depot,Credit Card,Completed,1,80,Split payment possibly to avoid $5000 approval threshold
TX-A10011,2024-05-18,-4900.00,Equipment,Kitchen equipment - Part 2,1234-5678-9012-3456,Restaurant Equipment Depot,Credit Card,Completed,1,80,Split payment possibly to avoid $5000 approval threshold
TX-A10012,2024-04-15,-18450.00,Staff Wages,Bi-weekly staff payroll,2345-6789-0123-4567,Payroll,EFT,Completed,1,75,Payroll amount 50% higher than average
TX-A10013,2024-02-28,-3675.00,Food Supplies,Specialty food items,1234-5678-9012-3456,Gourmet Imports Inc.,Wire Transfer,Completed,1,85,New vendor not in approved vendor list and missing W-9
